bvid,title,play_count,duration,author,description
BV1Xb4y1u7Q7,"【洛天依x乐正绫】《<em class=""keyword"">黄梅戏</em>》|“为救李郎离家园，谁料皇榜中状元？”【南北组】【原创PV付】",335510,3:46,鬼面P,"原作：慕容晓晓
作词：田一龙/何欣
作曲：田一龙/何欣
黄梅戏唱段：《女驸马》
演唱：洛天依、乐正绫
调/混/视：鬼面P
曲绘：心流酱紫（来自bilibili音乐《扬旗鸣鼓》，官方已授权）"
BV1yW411H7D5,"<em class=""keyword"">黄梅戏</em>【龙凤奇缘】电视剧VCD版 1998 （全3集）",41341,142:23,加勒比海鲜灬,江南才子苏文龙，三月踏青吹萧吟唱，邂逅才女钱采凤，一见钟情，遂约百年之好。彩凤父亲钱有圆，家财万贯，贪得无厌，竟以稀世珍宝和一斗黄金为索礼将彩凤许与豪门，苏文龙上门求婚受辱，演绎了一场闹笑不息，纷争不断的爱情喜剧。情节曲折、高潮迭起、绚丽多姿的奇缘恋情，奏响了一曲优美婉约的爱之歌。戏曲经典，名角演绎！收录最动人的经典小调，重温黄梅调的的浪漫幽默精选，脍炙人口经典唱段。
BV1tX4y1u7SB,"<em class=""keyword"">黄梅戏</em>《好色公公》",4400,51:3,一曲红尘醉梦,黄梅戏《好色公公》
BV1qi4y1U7nS,"〖青春黄梅〗<em class=""keyword"">黄梅戏</em>《对花》江李汇 陈邦靓 再芬黄梅剧院",37125,4:46,-至清之水-,-
BV1Hq4y1P7e4,"《<em class=""keyword"">黄梅戏</em>》说到做到，大家要的完整版来了！",3621160,8:48,咻咻满,"原唱：慕容晓晓
翻唱：咻咻满
BGM：韩再芬 黄梅戏-《女驸马》
ps：直录无修音版"
BV15t411g7Pt,"【老电影】<em class=""keyword"">黄梅戏</em>《香魂》1986 韩再芬主演",24053,82:26,徽客三爷,"https://b23.tv/av59859784/p1
观看更多黄梅戏电影☞https://b23.tv/av59859784/p1"
BV1PS4y1172U,"<em class=""keyword"">黄梅戏</em>合集",145653,5487:27,戏曲大集合,"妈妈喜欢看戏曲，给妈妈看的
https://www.bilibili.com/video/BV1Qf4y127qe?p=1
https://www.bilibili.com/video/BV1v7411T798?from=search&amp;seid=13938679221472296454"
BV19k4C1f7cd,"<em class=""keyword"">黄梅戏</em>经典唱段合集",2681,41:0,机智小阿布,弘扬中华戏曲文化，黄梅戏经典唱段合集，如需下载mp3文件，请访问www.xiqu99.com
BV1Q7411d7af,"【<em class=""keyword"">黄梅戏</em>】《黄山情》黄婉秋 黄新德 郭宵珍 刘国平等[高清完整版]",24234,154:28,小蕾M南昌,【黄梅戏】《黄山情》黄婉秋 黄新德 郭宵珍 刘国平等
BV1jx411k7Ga,"<em class=""keyword"">黄梅戏</em>《打猪草》  吴琼",75315,16:18,女裙钗,"央视网
九州大戏台"
BV1K7411A7He,"【<em class=""keyword"">黄梅戏</em>】《鸳鸯谱》——吴琼、刘国平、何云等（画质渣）",2639,150:15,-紫金钵盂-,"网络
【黄梅戏】《鸳鸯谱》——吴琼、刘国平、何云等"
BV18Y4k1377M,"【修复版】<em class=""keyword"">黄梅戏</em>《半把剪刀》汪静×侯长荣×郭宵珍[全]",12934,280:37,小蕾M南昌,-
